"""GRPCOL""","""HUM""","""TEMP""","""PWRA"""
43582.81597,32,38.1,1530
43582.81944,32,38.1,1534.8
43582.82292,32,38.1,1540.4
43582.82639,32,38.1,1538.4
43582.82986,32,38,1541.6
43582.83333,32,38,1534.8
43582.83681,32,38,1541.6
43582.84028,32,38,1539
43582.84375,32,37.9,1535.8
43582.84722,32,37.9,1544
43582.85069,32,37.9,1559
43582.85417,32,37.8,1548.6
43582.85764,32,37.8,1544.6
43582.86111,32,37.8,1543.8
43582.86458,32,37.7,1546.6
43582.86806,32,37.7,1540.4
43582.87153,32,37.7,1540.6
43582.875,32,37.7,1537
43582.87847,32,37.6,1535
43582.88194,33,37.6,1497.2
43582.88542,33,37.6,720.6
43582.88889,33,37.5,713.8
43582.89236,33,37.5,714.8
43582.89583,33,37.5,712.4
43582.89931,33,37.4,366
43582.90278,33,37.4,534
43582.90625,33,37.3,1533.4
43582.90972,33,37.3,1545.8
43582.91319,33,37.3,1532
43582.91667,33,37.3,1507
43582.92014,33,37.3,1531
43582.92361,33,37.3,1515
43582.92708,33,37.3,1509
43582.93056,33,37.3,1501.2
43582.93403,33,37.3,1522.4
43582.9375,33,37.2,1525.6
43582.94097,33,37.2,1453.8
43582.94444,33,37.2,1450
43582.94792,33,37.1,1442.4
43582.95139,33,37.1,1512
43582.95486,33,37.1,1521
43582.95833,33,37,1538
43582.96181,33,37,1534.6
43582.96528,34,37,1524.8
43582.96875,34,36.9,1510.6
43582.97222,34,36.9,1513
43582.97569,34,36.9,1520.6
43582.97917,34,36.8,1509.8
43582.98264,34,36.7,1501
43582.98611,34,36.1,1533.2
43582.98958,34,35.4,1928
43582.99306,34,34.8,1952.8
43582.99653,34,34.4,6088.8
43583,33,34,8591
43583.00347,33,33.7,8725.6
43583.00694,32,33.4,8673
43583.01042,32,33.2,8575
43583.01389,32,33,8524.8
43583.01736,31,32.8,8608.2
43583.02083,31,32.6,8747
43583.02431,31,32.5,8612.2
43583.02778,31,32.4,8546.6
43583.03125,32,32.3,8635.6
43583.03472,31,32.2,8679.4
43583.03819,31,32.1,8768.4
43583.04167,31,32,8747.8
43583.04514,31,31.9,8673
43583.04861,32,31.7,8676.2
43583.05208,32,31.7,8738.8
43583.05556,31,31.7,8758.2
43583.05903,32,31.6,8788
43583.0625,32,31.5,8767.8
43583.06597,32,31.4,8693.8
43583.06944,32,31.3,8743
43583.07292,32,31.2,8761.6
43583.07639,32,31.1,8761.8
43583.07986,32,31,8766.2
43583.08333,32,30.9,8704.6
43583.08681,32,30.9,8733.8
43583.09028,32,30.8,8733.8
43583.09375,32,30.7,8710.2
43583.09722,32,30.7,8716.4
43583.10069,32,30.6,8723.6
43583.10417,32,30.5,8728.8
43583.10764,32,30.4,8696
43583.11111,32,30.4,8756
43583.11458,32,30.3,8731
43583.11806,32,30.2,8679
43583.12153,32,30.1,8731.8
43583.125,32,29.9,8710.8
43583.12847,32,29.8,8739.4
43583.13194,32,29.8,8731.4
43583.13542,32,29.8,8596.6
43583.13889,32,29.7,8488.6
43583.14236,32,29.6,8650.6
43583.14583,32,29.5,8706.4
43583.14931,33,29.5,8710.2
43583.15278,33,29.4,8617.8
43583.15625,32,29.6,8530.2
43583.15972,33,30.4,8658.8
43583.16319,33,30.9,8693.6
43583.16667,33,31.3,8747.8
43583.17014,34,31.6,3731.8
43583.17361,34,31.7,1640.6
43583.17708,35,31.7,1673.8
43583.18056,35,31.9,1670.6
43583.18403,36,32,1679.2
43583.1875,36,31.5,1677
43583.19097,35,30.8,1673
43583.19444,35,30.3,1684
43583.19792,34,29.9,2799.4
43583.20139,33,29.7,8382.2
43583.20486,33,29.4,8399.2
43583.20833,33,29.2,8365.6
43583.21181,33,29.1,8367.8
43583.21528,33,28.9,8415
43583.21875,33,28.8,8477.8
43583.22222,33,29.3,8406.8
43583.22569,33,30,8355.4
43583.22917,33,30.4,8312.6
43583.23264,34,30.7,7989
43583.23611,34,31,879.8
43583.23958,35,31.1,883
43583.24306,35,31.2,881.8
43583.24653,36,31.3,854.2
43583.25,36,31.4,349.2
43583.25347,37,31.5,1212
43583.25694,37,31.5,1682.2
43583.26042,38,31.5,1683.2
43583.26389,39,31.6,1688.2
43583.26736,39,31.6,1716.6
43583.27083,40,31.7,1884.4
43583.27431,40,31.7,1877
43583.27778,40,31.7,1868.2
43583.28125,41,31.7,1865
43583.28472,41,31.7,1865.2
43583.28819,41,31.7,1860.6
43583.29167,42,31.7,1856
43583.29514,42,31.7,1849.6
43583.29861,42,31.8,1856.4
43583.30208,43,31.8,1868.4
43583.30556,43,31.9,1866.6
43583.30903,43,31.9,1871
43583.3125,43,31.9,1895.8
43583.31597,43,31.9,1821.4
43583.31944,44,32,1819.2
43583.32292,44,32,1828.8
43583.32639,45,32,1821.6
43583.32986,45,32,1829.8
43583.33333,46,32.1,1858.8
43583.33681,46,32.1,1894.4
43583.34028,48,32.2,1888.8
43583.34375,48,32.2,2722
43583.34722,48,32.2,2528.2
43583.35069,48,32.2,1779.2
43583.35417,48,32.2,1781.4
43583.35764,48,32.3,1900.6
43583.36111,48,32.3,1951.2
43583.36458,48,32.3,2996.2
43583.36806,48,32.3,2492.6
43583.37153,48,32.3,2031.4
43583.375,48,32.3,1809.8
43583.37847,48,32.3,1726.6
43583.38194,48,32.3,2733.6
43583.38542,48,32.4,1819.6
43583.38889,47,32.4,1980.8
43583.39236,47,32.4,1986.6
43583.39583,46,32.4,2021.2
43583.39931,46,32.4,2019.4
43583.40278,46,32.5,2046.8
43583.40625,46,32.5,2016
43583.40972,46,32.5,1762.2
43583.41319,46,32.5,1791.2
43583.41667,45,32.6,1672.8
43583.42014,45,32.6,1495
43583.42361,45,32.6,1582.4
43583.42708,45,32.6,1564.2
43583.43056,45,32.6,1573.4
43583.43403,45,32.6,1568.6
43583.4375,45,32.7,1573.4
43583.44097,44,32.7,1579.4
43583.44444,44,32.7,1572.8
43583.44792,44,32.7,1586.4
43583.45139,44,32.7,1575.4
43583.45486,44,32.8,1557.2
43583.45833,44,32.8,1573.2
43583.46181,44,32.8,1570.6
43583.46528,44,32.8,1566.6
